I'll create a comprehensive buildings and places CSV with various categories, and include the verb "shopping" as well.
<artifact identifier="japanese-buildings-places-csv" type="application/vnd.ant.code" language="csv" title="Japanese Buildings & Places Flashcard CSV">
category,level1,level2,emoji,english,romaji
Noun,Buildings,Education,📚,academy,gakuin
Noun,Buildings,Education,🏫,vocational school,senmon gakkō
Noun,Buildings,Education,🎓,graduate school,daigakuin
Noun,Buildings,Education,🌍,language school,gogaku gakkō
Noun,Buildings,Health,🏥,hospital,byōin
Noun,Buildings,Health,🏥,clinic,kurinikku
Noun,Buildings,Health,💊,pharmacy,yakkyoku
Noun,Buildings,Health,🦷,dentist,haisha
Noun,Buildings,Health,👁️,eye doctor,gankai
Noun,Buildings,Health,💉,doctor's office,shinryōjo
Noun,Buildings,Health,🧪,laboratory,kensakushitsu
Noun,Buildings,Health,🚑,emergency room,kyūkyū shitsu
Noun,Buildings,Health,🏥,medical center,iryō sentā
Noun,Buildings,Health,💆,massage parlor,massāji
Noun,Buildings,Health,💇,hair salon,biyōin
Noun,Buildings,Health,💇,barber,tokoya
Noun,Buildings,Transport,🚉,station,eki
Noun,Buildings,Transport,✈️,airport,kūkō
Noun,Buildings,Transport,🚌,bus stop,basu tei
Noun,Buildings,Transport,🚇,subway station,chikatetsu no eki
Noun,Buildings,Transport,🚂,train station,tetsudō eki
Noun,Buildings,Transport,🅿️,parking lot,chūshajō
Noun,Buildings,Transport,🚕,taxi stand,takushī noriba
Noun,Buildings,Transport,⛽,gas station,gasorinsutando
Noun,Buildings,Transport,🚢,port,minato
Noun,Buildings,Transport,🚢,harbor,kōwan
Noun,Buildings,Transport,🚏,bus terminal,basu tāminaru
Noun,Buildings,Transport,🚉,platform,hōmu
Noun,Buildings,Transport,🎫,ticket office,kippu uriba
Noun,Buildings,Leisure,🎬,cinema,eigakan
Noun,Buildings,Leisure,🎭,theater,gekijō
Noun,Buildings,Leisure,🎤,karaoke,karaoke
Noun,Buildings,Leisure,🏟️,arena,arēna
Noun,Buildings,Leisure,🎪,amusement park,yūenchi
Noun,Buildings,Leisure,🎰,arcade,gēmu sentā
Noun,Buildings,Leisure,🎳,bowling alley,bōringujō
Noun,Buildings,Leisure,💪,gym,jimu
Noun,Buildings,Leisure,🏋️,fitness center,fittonesu kurabu
Noun,Buildings,Leisure,🏊,sports center,supōtsu sentā
Noun,Buildings,Leisure,⛳,golf course,gorufu kōsu
Noun,Buildings,Leisure,🎾,tennis court,tenisu kōto
Noun,Buildings,Leisure,🎨,art studio,atorie
Noun,Buildings,Leisure,📚,bookstore cafe,hon kafe
Noun,Buildings,Leisure,🎮,manga cafe,manga kissa
Noun,Buildings,Leisure,♨️,hot spring,onsen
Noun,Buildings,Leisure,🛁,public bath,sentō
Noun,Buildings,Leisure,🎪,club,kurabu
Noun,Buildings,Leisure,🎵,live house,raibu hausu
Noun,Buildings,Accommodation,🏨,hotel,hoteru
Noun,Buildings,Accommodation,🏨,inn,ryokan
Noun,Buildings,Accommodation,🏠,house,ie
Noun,Buildings,Accommodation,🏢,apartment,apāto
Noun,Buildings,Accommodation,🏢,mansion,manshon
Noun,Buildings,Accommodation,🏠,home,uchi
Noun,Buildings,Accommodation,🏚️,dormitory,ryō
Noun,Buildings,Accommodation,🛏️,guest house,gesuto hausu
Noun,Buildings,Accommodation,🏕️,hostel,hosuteru
Noun,Buildings,Accommodation,🏢,condominium,kondominiyamu
Noun,Buildings,Accommodation,🏡,villa,bessō
Noun,Buildings,Accommodation,🏘️,housing complex,danchi
Noun,Buildings,Financial,🏦,bank,ginkō
Noun,Buildings,Financial,🏧,ATM,ē tī emu
Noun,Buildings,Financial,💳,credit union,shinkin
Noun,Buildings,Financial,💱,currency exchange,ryōgaejo
Noun,Buildings,Financial,💼,insurance company,hoken gaisha
Noun,Buildings,Financial,📊,stock exchange,shōken torihikijo
Noun,Buildings,Religious,⛩️,shrine,jinja
Noun,Buildings,Religious,🛕,temple,otera
Noun,Buildings,Religious,⛪,church,kyōkai
Noun,Buildings,Religious,🕌,mosque,mosuku
Noun,Buildings,Religious,🛕,Buddhist temple,bukkyō jiin
Noun,Buildings,Religious,⛩️,Shinto shrine,shintō jinja
Noun,Buildings,Religious,🙏,prayer hall,reidō
Noun,Buildings,Other,🏢,building,tatemono
Noun,Buildings,Other,🏗️,tower,tō
Noun,Buildings,Other,🏰,castle,shiro
Noun,Buildings,Other,🏛️,monument,kinenhi
Noun,Buildings,Other,⛲,fountain,funsui
Noun,Buildings,Other,🚻,restroom,toire
Noun,Buildings,Other,🅿️,parking garage,chūsha biru
Noun,Buildings,Other,🏗️,skyscraper,kōsō biru
Noun,Buildings,Other,🏢,elevator,erebētā
Noun,Buildings,Other,🪜,stairs,kaidan
Noun,Buildings,Other,🚪,entrance,iriguchi
Noun,Buildings,Other,🚪,exit,deguchi
Noun,Buildings,Other,🪟,window,mado
Noun,Buildings,Other,🚪,door,doa
Noun,Buildings,Other,🛗,escalator,esukarētā
Noun,Buildings,Other,🏛️,lobby,robī
Noun,Buildings,Other,🏢,floor,kai
Noun,Buildings,Other,🛎️,reception,uketsuke
Verb,Activities,Shopping,🛍️,shopping,kaimono
Verb,Activities,Shopping,🛒,shop,kaimono suru
Verb,Activities,Shopping,💳,buy,kau
Verb,Activities,Shopping,💰,sell,uru
Verb,Activities,Shopping,💵,pay,shiharau
Verb,Activities,Shopping,🏷️,bargain,nebiki kōshō suru
Verb,Activities,Shopping,👀,browse,mite mawaru
Verb,Activities,Shopping,🔍,look for,sagasu
Verb,Activities,Shopping,👜,carry,hakobu
Verb,Activities,Shopping,💳,purchase,kōnyū suru
